"","LNCAP_Hypoxia_S1","LNCAP_Hypoxia_S2","LNCAP_Normoxia_S1","LNCAP_Normoxia_S2","PC3_Hypoxia_S1","PC3_Hypoxia_S2","PC3_Normoxia_S1","PC3_Normoxia_S2"
"ENSG00000145901",2071.76666179131,1867.57205565028,935.319904723636,1196.53362865796,2347.6516682186,2792.68367790428,1748.67396999813,1774.90021663878
"ENSG00000145907",4007.21865027415,4267.38799173854,5398.83567214261,4932.85079200413,6840.02455251373,6792.52739722525,6128.06909768305,6343.90430603725
"ENSG00000145908",1648.75842954045,1683.07971766158,1094.32964238988,888.472471477411,1.26831532588795,0,0,0
"ENSG00000145911",140.642123254762,150.519324343719,132.240421560812,129.075903846597,72.2939735756133,86.4831074447778,89.4383511991991,68.4886283725888
"ENSG00000145912",1046.16102451812,1087.60828405101,1472.84777212062,1787.27101526255,905.577142683998,900.865702549768,1141.10999805875,994.826347717095
"ENSG00000145916",879.554201585553,799.309515480439,743.116215086667,759.826820643636,413.470796239473,414.398223172893,468.780323526836,494.511113334285
"ENSG00000145919",1245.22372204793,1254.17042039375,1229.24699556123,1164.69490570913,800.306970635298,735.106413280611,1005.41043072203,1005.27376560444
"ENSG00000145920",3.24558745972529,3.77477929388637,0.53538632210855,1.72101205128796,7.60989195532772,7.20692562039815,37.0089729100134,12.7690663067538
"ENSG00000145934",36.2423933002657,37.7477929388637,3.74770425475985,11.1865783333718,213.076974749176,198.190454560949,58.5975404408546,83.5793430987524
"ENSG00000145945",109.268111144085,118.905547757421,198.092939180163,208.672711218666,8.87820728121567,14.4138512407963,37.0089729100134,19.7340115649832
"ENSG00000145949",20.5553872449268,22.6486757633182,10.707726442171,15.0588554487697,13.9514685847675,10.8103884305972,0,2.32164841940979
"ENSG00000145979",224.486465964332,209.028403398958,173.46516836317,194.47436179554,300.590732235445,277.466636385329,382.426053403472,297.170997684453
"ENSG00000145982",151.460748120513,121.736632227835,230.216118506676,282.676229424048,291.712524954229,327.915115728116,410.182783085982,369.142098686156
"ENSG00000145990",155.247266823526,173.168000107037,128.492717306052,164.786903910823,238.443281266935,209.000842991546,478.03256675434,416.735891284057
"ENSG00000145996",262.351652994461,256.213144572537,259.662366222647,231.476120898231,962.651332348956,911.676090980366,968.401457812017,937.945961441555
"ENSG00000146005",2.70465621643774,3.30293188215057,2.1415452884342,1.29075903846597,2.53663065177591,0,0,4.64329683881958
"ENSG00000146006",0,0.471847411735796,1.60615896632565,0.860506025643982,0,0,0,0
"ENSG00000146007",3243.42373475214,3164.68059051198,3484.82957060455,3631.76568123042,239.711596592823,273.86317357513,296.071783280107,301.814294523273
"ENSG00000146013",0,1.41554223520739,0.53538632210855,0,0,0,3.08408107583445,1.16082420970489
"ENSG00000146021",27.5874934076649,27.3671498806762,40.1539741581412,45.606819359131,481.959823837422,522.502107478866,305.324026507611,271.632865070945
"ENSG00000146038",14.0642123254762,16.9865068224887,11.2431127642795,17.2101205128796,5.07326130355181,10.8103884305972,6.1681621516689,6.96494525822937
"ENSG00000146039",3.78651870301283,1.41554223520739,1.0707726442171,0.860506025643982,0,0,0,0
"ENSG00000146054",13.5232810821887,15.5709645872813,27.8400887496446,21.5126506410995,185.174037579641,259.449322334333,305.324026507611,262.346271393306
"ENSG00000146063",1690.95106651687,1580.68882931492,1547.80185721582,1532.99148468475,247.321488548151,205.397380181347,262.146891445928,265.828744022421
"ENSG00000146066",531.735412151659,480.812512558776,651.565154006105,923.753218528814,712.79321314903,753.123727331606,931.392484902004,882.22639937572
"ENSG00000146067",949.334331969646,872.445864299487,562.691024536086,644.949266220164,446.446994712559,511.691719048268,508.873377512684,503.797707011924
"ENSG00000146070",162.820304229552,150.047476931983,169.182077786302,163.926397885179,96.3919647674844,108.103884305972,228.221999611749,243.773084038028
"ENSG00000146072",681.032435299023,659.170834194907,411.176695379366,431.543771860457,558.058743390699,526.105570289065,1464.93851102136,1478.89004316404
"ENSG00000146083",2439.05897598355,2237.50042645114,1643.10062255114,2097.05318449438,573.278527301355,551.329809960458,585.975404408546,565.321390126284
"ENSG00000146085",1058.60244311373,1040.89539028917,1215.32695118641,1030.02571269585,814.258439220066,832.399909155986,755.59986357944,720.871834226739
"ENSG00000146090",2.16372497315019,3.30293188215057,4.81847689897695,6.02354217950787,1.26831532588795,0,3.08408107583445,1.16082420970489
"ENSG00000146094",822.75642104036,871.502169476015,173.46516836317,193.183602757074,329.761984730868,349.53589258931,104.858756578371,110.278299921965
"ENSG00000146109",358.096483056357,357.660338095733,314.271771077719,356.249494616608,882.747466818015,893.65877692937,906.719836295328,935.624313022145
"ENSG00000146112",388.929563923747,318.497002921662,102.794173844842,129.506156859419,2416.14069581655,2666.56247954731,2106.42737479493,2303.07523205451
"ENSG00000146122",5.95024367616303,5.66216894082955,8.03079483162824,18.0706265385236,280.297687021238,270.259710764931,197.381188853405,237.968962989503
"ENSG00000146143",157.951923039964,167.033983754472,232.357663795111,206.521446154556,772.404033465763,799.968743864194,749.431701427771,673.278041628839
"ENSG00000146151",0.540931243287548,0,0,0,11.4148379329916,7.20692562039815,9.25224322750335,12.7690663067538
"ENSG00000146166",1.0818624865751,0.471847411735796,2.1415452884342,1.29075903846597,0,0,0,0
"ENSG00000146192",0,0,1.60615896632565,1.72101205128796,0,3.60346281019907,0,1.16082420970489
"ENSG00000146197",22.719112218077,25.0079128219972,12.3138854084966,11.1865783333718,265.077903110582,205.397380181347,148.035891640054,175.284455665439
"ENSG00000146205",645.330973242044,600.189907727933,135.988125815572,173.391964167262,54.537559013182,39.6380909121898,43.1771350616823,44.111319968786
"ENSG00000146215",0,0,0,0,1.26831532588795,3.60346281019907,6.1681621516689,3.48247262911468
"ENSG00000146216",10.818624865751,11.3243378816591,17.1323623074736,20.6521446154556,0,0,3.08408107583445,0
"ENSG00000146221",2.16372497315019,3.77477929388637,0.53538632210855,3.01177108975394,0,0,0,0
"ENSG00000146223",3718.90229760189,3851.21857458757,4694.80265856987,4364.05630905345,3382.59697414317,3318.78924819335,3666.97239916716,3546.31796064845
"ENSG00000146232",74.6485115736816,79.2703651716137,71.2063808404371,87.7716146156861,360.201552552179,374.760132260704,462.612161375168,398.162703928779
"ENSG00000146233",177.425447798316,178.358321636131,167.575918819976,152.739819551807,186.442352905529,154.94890083856,271.399134673432,207.787533537176
"ENSG00000146242",11.3595561090385,10.8524904699233,5.88924954319404,3.87227711539792,5673.17445269681,4886.29557062994,1431.01361918718,1471.92509790581
"ENSG00000146243",0.540931243287548,0,0,0,83.7088115086049,147.741975218162,169.624459170895,189.214346181898
"ENSG00000146247",2028.4921623283,2048.28961434509,2260.9364382644,1682.28928013398,4616.66778623215,4057.49912428416,3262.95777823285,3333.88713027246
"ENSG00000146250",0,0,0,0,50.7326130355181,21.6207768611944,15.4204053791723,30.1814294523273
"ENSG00000146263",339.70482078458,343.50491574366,409.035150090932,329.573807821645,1606.95551790004,1477.41975218162,1424.84545703552,1525.32301155223
"ENSG00000146267",144.428641957775,147.688239873304,170.788236752627,144.134759295367,266.34621843647,320.708190107718,391.678296630975,379.5895165735
"ENSG00000146276",0.540931243287548,0,0.53538632210855,0,0,0,0,0
"ENSG00000146278",845.475533258437,802.612447362589,509.687778647339,419.066434488619,1733.78705048883,1499.04052904281,478.03256675434,489.867816495465
"ENSG00000146281",3.24558745972529,9.90879564645172,9.10156747584534,6.02354217950787,1338.07266881179,1081.03884305972,1036.25124148038,1025.00777716942
"ENSG00000146282",406.780294952236,397.29552068154,489.343098407214,400.135301924452,909.382088661662,915.279553790565,820.365566171964,811.416122583721
"ENSG00000146350",369.996970408683,346.80784762581,365.133471678031,325.271277693425,251.126434525815,270.259710764931,243.642404990922,236.808138779798
"ENSG00000146373",77.8940990334069,61.8120109373893,57.2863364656148,48.618590448885,596.108203167338,587.364438062449,508.873377512684,417.896715493762
"ENSG00000146374",0,0,0,0.430253012821991,2.53663065177591,0,3.08408107583445,5.80412104852447
"ENSG00000146376",468.987387930304,477.981428088361,624.260451578569,541.688543142886,262.541272458806,183.776603320153,391.678296630975,363.337977637632
"ENSG00000146386",831.411320932961,848.381646300961,778.451712345831,618.273579425201,768.599087488099,709.882173609217,595.227647636049,581.572929062152
