Geneid,Genesymbol,Genetype,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000165175,MID1IP1,protein_coding,4628,5515,9741,12871,272,119,223,593
ENSG00000165181,SHOC1,protein_coding,3,9,1,1,144,34,36,125
ENSG00000165182,CXorf58,protein_coding,5,3,8,6,4,3,1,8
ENSG00000165185,KIAA1958,protein_coding,897,976,634,683,354,134,106,337
ENSG00000165186,PTCHD1,protein_coding,5,6,0,0,51,10,3,15
ENSG00000165188,RNF183,protein_coding,14,15,3,4,0,0,0,0
ENSG00000165192,ASB11,protein_coding,15,12,7,6,1,0,0,0
ENSG00000165194,PCDH19,protein_coding,7,17,3,2,14,4,6,6
ENSG00000165195,PIGA,protein_coding,1737,1973,1035,954,2766,970,613,1632
ENSG00000165197,VEGFD,protein_coding,10,18,18,19,20,3,9,24
ENSG00000165209,STRBP,protein_coding,4172,4564,5053,5759,281,71,111,320
ENSG00000165215,CLDN3,protein_coding,3341,3836,2585,3353,375,115,115,348
ENSG00000165219,GAPVD1,protein_coding,2493,3007,2089,2164,3002,904,864,2408
ENSG00000165233,CARD19,protein_coding,291,338,194,382,236,87,137,344
ENSG00000165238,WNK2,protein_coding,1579,1625,889,1502,40,12,41,115
ENSG00000165240,ATP7A,protein_coding,1482,1611,1382,1458,135,49,53,141
ENSG00000165244,ZNF367,protein_coding,3077,3041,3765,4070,1364,430,409,1168
ENSG00000165246,NLGN4Y,protein_coding,733,816,511,525,0,1,0,0
ENSG00000165259,HDX,protein_coding,129,138,156,231,184,70,64,148
ENSG00000165264,NDUFB6,protein_coding,770,896,1128,1477,38,13,28,56
ENSG00000165269,AQP7,protein_coding,10,22,18,20,0,0,0,0
ENSG00000165271,NOL6,protein_coding,1855,2396,2520,3108,474,176,398,978
ENSG00000165272,AQP3,protein_coding,86,111,147,184,61,30,23,78
ENSG00000165275,TRMT10B,protein_coding,414,430,441,476,55,22,32,82
ENSG00000165280,VCP,protein_coding,10416,13482,12988,16156,9032,2968,3128,7836
ENSG00000165282,PIGO,protein_coding,1353,1557,1396,1761,382,172,239,525
ENSG00000165283,STOML2,protein_coding,1884,2293,2467,3733,850,308,485,1106
ENSG00000165288,BRWD3,protein_coding,1512,1650,998,905,760,232,168,490
ENSG00000165300,SLITRK5,protein_coding,10,5,3,1,61,22,28,84
ENSG00000165304,MELK,protein_coding,2513,3018,2914,2738,2145,614,637,1644
ENSG00000165309,ARMC3,protein_coding,2,4,1,7,19,2,4,21
ENSG00000165312,OTUD1,protein_coding,238,207,192,232,73,26,20,56
ENSG00000165322,ARHGAP12,protein_coding,1428,1553,1299,1325,660,224,264,699
ENSG00000165323,FAT3,protein_coding,2,0,1,2,5,0,0,2
ENSG00000165325,DEUP1,protein_coding,46,68,126,114,1,4,2,5
ENSG00000165338,HECTD2,protein_coding,392,457,453,460,213,63,98,229
ENSG00000165355,FBXO33,protein_coding,778,906,736,892,582,201,122,402
ENSG00000165359,INTS6L,protein_coding,996,1099,708,742,172,54,35,117
ENSG00000165370,GPR101,protein_coding,2,1,1,0,4,1,0,4
ENSG00000165379,LRFN5,protein_coding,0,0,0,0,0,2,0,5
ENSG00000165389,SPTSSA,protein_coding,3329,3549,3180,3287,376,131,148,424
ENSG00000165392,WRN,protein_coding,1134,1373,1422,1397,590,196,280,761
ENSG00000165406,MARCHF8,protein_coding,937,1143,1041,1209,918,298,358,1015
ENSG00000165410,CFL2,protein_coding,950,1290,1070,1167,2623,953,1096,2986
ENSG00000165416,SUGT1,protein_coding,1555,1741,1947,2033,1170,354,443,1154
ENSG00000165417,GTF2A1,protein_coding,10022,11299,10799,11221,1031,336,367,999
ENSG00000165424,ZCCHC24,protein_coding,1016,1009,1036,1202,5131,1572,1317,3625
ENSG00000165434,PGM2L1,protein_coding,256,291,187,234,948,221,212,553
ENSG00000165443,PHYHIPL,protein_coding,4,1,0,1,6,1,1,4
ENSG00000165449,SLC16A9,protein_coding,235,259,512,469,408,157,217,549
ENSG00000165458,INPPL1,protein_coding,4277,4730,2410,3101,602,193,313,816
ENSG00000165471,MBL2,protein_coding,0,0,0,0,2,0,0,4
ENSG00000165474,GJB2,protein_coding,17,20,29,28,185,67,50,163
ENSG00000165475,CRYL1,protein_coding,817,884,1009,1344,147,67,90,214
ENSG00000165476,REEP3,protein_coding,5112,5844,6823,6963,3058,907,1000,3048
ENSG00000165478,HEPACAM,protein_coding,111,130,19,65,0,0,0,0
ENSG00000165480,SKA3,protein_coding,1326,1647,2322,2146,2260,775,860,2542
ENSG00000165487,MICU2,protein_coding,2450,2755,2822,3098,1248,411,390,970
ENSG00000165490,DDIAS,protein_coding,1498,1666,1139,1113,1427,485,614,1766
ENSG00000165494,PCF11,protein_coding,5636,6302,5632,6297,1051,315,370,1017
ENSG00000165495,PKNOX2,protein_coding,162,165,357,597,17,5,6,16
ENSG00000165496,RPL10L,protein_coding,135,175,143,190,0,0,0,0
ENSG00000165501,LRR1,protein_coding,434,468,530,558,741,239,313,757
ENSG00000165502,RPL36AL,protein_coding,11568,13500,14090,18043,3369,1008,1112,3107
ENSG00000165506,DNAAF2,protein_coding,909,1047,1041,1165,534,139,221,567
ENSG00000165507,DEPP1,protein_coding,52,66,39,44,5870,2126,113,304
