"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000085365",4301.85729434675,0.292559648697179,0.11068667731737,2.64313335432708,0.00821426759468278,0.0286655502061208
"ENSG00000108379",104.310972036786,0.765581740517401,0.289654490340056,2.6430860423348,0.00821541552202959,0.0286655502061208
"ENSG00000177888",1012.32046126892,0.401794448084712,0.152007420110096,2.64325549235491,0.00821130483235442,0.0286655502061208
"ENSG00000113441",1131.8084825766,-0.362443170430029,0.137190893569732,-2.64188942136894,0.00824449682039712,0.0287526311072529
"ENSG00000203727",56.6371977308555,-1.00994100658616,0.382275173384254,-2.64192151858888,0.00824371556579593,0.0287526311072529
"ENSG00000196911",288.379689319325,0.552591627728534,0.209303328938403,2.64014734276471,0.00828699896921478,0.0288936300644565
"ENSG00000158615",1720.32205433837,0.346133372654746,0.131111485573557,2.63999275990628,0.00829077983855907,0.0288995858222573
"ENSG00000105464",14.7693976436995,1.97173407297141,0.746916644995066,2.63983148077312,0.00829472613394712,0.028906115092633
"ENSG00000164880",1697.86467729371,0.330824810281317,0.125374784037622,2.63868698016696,0.00832277892133535,0.0289966283108893
"ENSG00000183495",1729.19572676235,0.307206474265983,0.116433962886112,2.63846103534647,0.00832832706321457,0.0290087095284538
"ENSG00000104936",210.897469344622,0.595046697585486,0.225572817721739,2.6379361821845,0.00834122775966218,0.0290463882749675
"ENSG00000075415",4362.83576656345,-0.309340684179066,0.117285972575821,-2.63749088987677,0.00835218689389802,0.0290772888543371
"ENSG00000104332",5.19421361407489,3.77499151245448,1.43142472831194,2.63722669993712,0.00835869498554188,0.0290926820228184
"ENSG00000143612",4123.98553474736,-0.27452943555032,0.104101752390485,-2.63712597767385,0.00836117738592691,0.0290940594689241
"ENSG00000124172",4867.38377644382,-0.280530456168086,0.106383030564445,-2.63698500296197,0.00836465295542085,0.0290988912568445
"ENSG00000128739",322.719724316044,0.49615975995434,0.188192796182516,2.63644395544847,0.00837800386075503,0.0291307999577325
"ENSG00000164695",511.8022470933,-0.409499986657803,0.155319882522479,-2.63649431101351,0.00837676048129573,0.0291307999577325
"ENSG00000143256",1532.04549853553,-0.315215703916664,0.119565443059504,-2.63634454781212,0.00838045891844496,0.0291320714784039
"ENSG00000119314",2195.83676716584,0.327587400563326,0.12426316754268,2.63623893581187,0.00838306790950545,0.0291338773335579
"ENSG00000102870",192.231625092278,0.677248332232003,0.257004446031793,2.63516193081042,0.0084097152637741,0.0292192025723405
"ENSG00000164754",5040.24648903422,0.354636155817836,0.134606719633773,2.63460960034313,0.00842341044127792,0.0292594947141849
"ENSG00000106367",2729.14035939763,-0.303837117335941,0.115371721545489,-2.63354930710766,0.00844975659847264,0.0293437001874232
"ENSG00000100151",704.190892973137,0.373845083074547,0.141962542889898,2.63340649909668,0.00845331071624444,0.0293464436604836
"ENSG00000155858",109.049684695504,-0.791461290799266,0.300553196618311,-2.63334843782875,0.00845475609152711,0.0293464436604836
"ENSG00000149328",781.273575871414,0.379609138684862,0.144160796497821,2.63323419339321,0.00845760073402115,0.0293490112081774
"ENSG00000133195",283.53173168308,-0.497920605616492,0.189137539009981,-2.63258477520011,0.00847378726458734,0.0293978641030458
"ENSG00000198301",1825.39598840153,-0.321878075415165,0.122274486509056,-2.63242222155089,0.00847784319218606,0.0294046188130971
"ENSG00000138768",5111.71001829704,-0.314212415680117,0.119381621618451,-2.63199989596685,0.00848838888703273,0.0294338737259133
"ENSG00000095794",279.713016991539,-0.503649722765872,0.191377185117515,-2.63171246069173,0.00849557300607189,0.0294514605727649
"ENSG00000180720",5.72181140535237,3.49760951554389,1.32911283910135,2.63153692647249,0.00849996295852536,0.0294593545937656
"ENSG00000109084",2577.69964319406,-0.351698552641449,0.133673216781917,-2.63103231229359,0.00851259420308158,0.0294958004407471
"ENSG00000117148",38.0401312138068,-1.24486517102173,0.473232540329624,-2.63055699879522,0.00852450735539463,0.0295297406350975
"ENSG00000166450",114.998858191953,-0.727075212343358,0.276542743948406,-2.62916033146401,0.00855959942012948,0.0296386058453279
"ENSG00000177951",1053.64601904967,-0.397575785630311,0.151219117883694,-2.62913705088596,0.00856018545070181,0.0296386058453279
"ENSG00000276045",247.443705526469,-0.535307930609724,0.203692267275731,-2.62802283939968,0.00858827492526767,0.0297284799610246
"ENSG00000198890",1812.65587338182,-0.309683677763939,0.117845424314601,-2.62788037435553,0.00859187243006634,0.0297335510777898
"ENSG00000268043",213.544284395438,0.563713384593294,0.214556817502799,2.62733848849124,0.00860556835658641,0.0297735582123782
"ENSG00000211452",68.3149813146731,-0.925759617606535,0.352371022444329,-2.62722970573664,0.00860832014381842,0.029775690341171
"ENSG00000066185",173.969449848817,-0.604727259544678,0.230291717844598,-2.62591840125467,0.00864155307040924,0.0298610097796074
"ENSG00000080371",1856.36951693074,-0.317320110436116,0.120833715052998,-2.6260891697068,0.00863721873074672,0.0298610097796074
"ENSG00000178821",208.196124439702,-0.582388655585313,0.221783887283897,-2.62592861328929,0.00864129382019254,0.0298610097796074
"ENSG00000284194",168.065419852916,-0.775665976372089,0.295378101165722,-2.62601043649103,0.00863921684724634,0.0298610097796074
"ENSG00000213977",78.1500901441538,0.883490087093319,0.33661702465625,2.62461498492398,0.0086746996821884,0.0299681213252609
"ENSG00000115993",2098.93507696022,0.304751494494691,0.116128299839143,2.62426553145807,0.00868360577609424,0.0299840305438539
"ENSG00000128294",119.508112474303,-0.739578297086632,0.281821606409237,-2.624278196799,0.00868328284734122,0.0299840305438539
"ENSG00000164308",61.0293143178247,-0.978765857420798,0.373403985860804,-2.62119820484631,0.00876213033094527,0.0302476809121985
"ENSG00000261221",331.184556564054,0.494716798885885,0.188750006133637,2.62101606786502,0.0087668129912696,0.0302563548359584
"ENSG00000160753",411.921549205264,-0.486994874813303,0.185810023782844,-2.62092897303782,0.00876905295050153,0.0302565962110475
"ENSG00000130518",310.737701858616,0.590580738991172,0.225373829671494,2.6204494987373,0.00878139352982886,0.030291679858091
"ENSG00000110844",784.385885429911,0.368552439264376,0.140678903219355,2.61981314063636,0.00879779590475305,0.0303407539698174
"ENSG00000167693",359.263216921976,0.468469406084297,0.178884239784966,2.61884113797524,0.00882290248791078,0.0304198143889565
"ENSG00000137815",2874.68080167092,0.285706691505595,0.10911085746269,2.6184991865112,0.00883175021655378,0.0304352677383612
"ENSG00000197147",673.954319487383,-0.409673688930851,0.156452251033775,-2.61852217672733,0.0088311551141063,0.0304352677383612
"ENSG00000129292",1663.45195421456,0.340024112655132,0.129864698315277,2.61829517233116,0.00883703269961716,0.0304459468571194
"ENSG00000102024",1480.01259219204,0.311492343270193,0.118995890158413,2.61767312178193,0.00885315671183363,0.0304939634469111
"ENSG00000198815",3328.04030420241,0.280972648691268,0.107354003398248,2.61725357040438,0.00886404663082281,0.0305239323718356
"ENSG00000105877",12.1397126966631,2.18671233055339,0.835608735950616,2.61690936974912,0.00887298967240659,0.0305471839512012
"ENSG00000143756",2463.60340445456,0.331902354273686,0.126859050666799,2.61630804053108,0.00888863278524422,0.0305934847999655
"ENSG00000156802",4824.26894893514,0.363938568883715,0.139130757670294,2.61580239321459,0.00890180586960147,0.030631263385946
"ENSG00000135390",2036.1529929548,-0.839900329375986,0.321154983361501,-2.61524925001887,0.00891623628228681,0.0306733487500432
"ENSG00000111752",286.742446477581,0.492410249088587,0.188342819728127,2.61443600451232,0.00893749019201317,0.030731301047408
"ENSG00000120071",1394.94784759456,0.326323671973473,0.124812889454935,2.61450298441568,0.00893573798541968,0.030731301047408
"ENSG00000198435",940.078450184595,0.345400322258269,0.132143313041654,2.61383125871373,0.00895332435177353,0.0307781561727757
"ENSG00000172932",682.370448157847,0.408390816396182,0.156274841010481,2.61328575831853,0.00896762876648447,0.0308121360007622
"ENSG00000215845",677.257310750973,-0.414703938932343,0.158689517453998,-2.61330392571494,0.00896715204256318,0.0308121360007622
"ENSG00000157693",1028.52912980288,0.338009305999292,0.129350653474981,2.61312406948659,0.00897187258047224,0.0308191227862834
"ENSG00000139637",446.317618423404,-0.472253810850329,0.180737365311204,-2.61292848901043,0.00897700833836564,0.0308291692763133
